id,img_timestamp,pose_timestamp,img_path,lat_deg,lon_deg,alt_m,x_m,y_m,z_m,roll_rad,pitch_rad,yaw_rad,toggle_enabled
259,1776962011.9503903,1776962012.0073323,/home/sylva0/on_board/logs/images/0000000259.jpg,36.1772561,-78.0339453,16.194,-5.937432289123535,7.298648834228516,-16.19427490234375,0.028433559462428093,-0.11197121441364288,0.27885621786117554,1
260,1776962012.941602,1776962012.988407,/home/sylva0/on_board/logs/images/0000000260.jpg,36.1772585,-78.0339428,16.242,-5.669716835021973,7.5235137939453125,-16.242582321166992,-0.005111361388117075,-0.10169544816017151,0.2923806607723236,1
261,1776962013.9514675,1776962014.00367,/home/sylva0/on_board/logs/images/0000000261.jpg,36.1772613,-78.0339439,16.214,-5.363282203674316,7.427120208740234,-16.214162826538086,0.001111842691898346,-0.11485062539577484,0.37251296639442444,1
262,1776962014.9624455,1776962015.0217605,/home/sylva0/on_board/logs/images/0000000262.jpg,36.1772665,-78.0339441,16.243,-4.785872459411621,7.4109039306640625,-16.243873596191406,0.01583169214427471,-0.10295107960700989,0.3215382397174835,1
263,1776962015.9481115,1776962015.9889405,/home/sylva0/on_board/logs/images/0000000263.jpg,36.1772738,-78.0339415,16.265,-3.967595100402832,7.645660400390625,-16.265932083129883,0.0027846377342939377,-0.06987471878528595,0.413982629776001,1
264,1776962016.9547052,1776962017.0012822,/home/sylva0/on_board/logs/images/0000000264.jpg,36.1772771,-78.0339391,16.322,-3.6018152236938477,7.858203887939453,-16.322669982910156,-0.03946634754538536,-0.0746488943696022,0.3344579339027405,1
265,1776962017.9791012,1776962018.049868,/home/sylva0/on_board/logs/images/0000000265.jpg,36.1772807,-78.0339382,16.32,-3.1991758346557617,7.94244384765625,-16.320343017578125,0.013898001983761787,-0.10107962787151337,0.32082849740982056,1
266,1776962018.9620872,1776962019.0136678,/home/sylva0/on_board/logs/images/0000000266.jpg,36.177284,-78.0339366,16.31,-2.831059455871582,8.08675765991211,-16.310081481933594,0.02089654467999935,-0.08735698461532593,0.3296149671077728,1
267,1776962019.9715507,1776962020.027454,/home/sylva0/on_board/logs/images/0000000267.jpg,36.1772852,-78.0339369,16.302,-2.695254325866699,8.054744720458984,-16.302791595458984,0.021007830277085304,-0.1173412948846817,0.4198618233203888,1
268,1776962020.955894,1776962020.995022,/home/sylva0/on_board/logs/images/0000000268.jpg,36.1772872,-78.0339342,16.329,-2.479170799255371,8.301153182983398,-16.329187393188477,0.00954386591911316,-0.10203906893730164,0.3713151812553406,1
269,1776962021.9672642,1776962022.0158472,/home/sylva0/on_board/logs/images/0000000269.jpg,36.177291,-78.0339317,16.453,-2.0586442947387695,8.518621444702148,-16.453357696533203,0.016133058816194534,-0.11777655780315399,0.38118472695350647,1
270,1776962022.9803166,1776962023.040814,/home/sylva0/on_board/logs/images/0000000270.jpg,36.1772917,-78.0339291,16.443,-1.9797677993774414,8.757774353027344,-16.44310188293457,-0.009238552302122116,-0.08288361132144928,0.3505687713623047,1
271,1776962023.9803212,1776962024.0365922,/home/sylva0/on_board/logs/images/0000000271.jpg,36.1772932,-78.0339294,16.399,-1.8035173416137695,8.729312896728516,-16.399953842163086,0.019787998870015144,-0.09718553721904755,0.3331819474697113,1
272,1776962024.9661622,1776962025.0053663,/home/sylva0/on_board/logs/images/0000000272.jpg,36.1772942,-78.0339282,16.423,-1.699051856994629,8.833536148071289,-16.423114776611328,-0.007279010955244303,-0.0866803526878357,0.3570197820663452,1
273,1776962025.9759798,1776962026.023953,/home/sylva0/on_board/logs/images/0000000273.jpg,36.1772952,-78.0339294,16.392,-1.5839529037475586,8.726079940795898,-16.39231300354004,0.03999499976634979,-0.04809189960360527,0.3243354260921478,1
274,1776962026.9865503,1776962027.039828,/home/sylva0/on_board/logs/images/0000000274.jpg,36.1772971,-78.0339296,16.17,-1.3698453903198242,8.713727951049805,-16.170682907104492,-0.015513524413108826,-0.16644257307052612,0.3638859689235687,1
275,1776962027.9947162,1776962028.0529714,/home/sylva0/on_board/logs/images/0000000275.jpg,36.177297,-78.0339286,16.061,-1.3833227157592773,8.798032760620117,-16.061614990234375,-0.015052380040287971,-0.11846098303794861,0.30029916763305664,1
276,1776962028.9777405,1776962029.016141,/home/sylva0/on_board/logs/images/0000000276.jpg,36.1773015,-78.0339274,16.233,-0.8901700973510742,8.910871505737305,-16.233261108398438,-0.01167201530188322,-0.06683949381113052,0.29883962869644165,1
277,1776962029.9889746,1776962030.0355427,/home/sylva0/on_board/logs/images/0000000277.jpg,36.1773028,-78.0339265,16.414,-0.7390432357788086,8.992486953735352,-16.41455078125,0.0006863316521048546,-0.12677860260009766,0.27709633111953735,1
278,1776962030.999041,1776962031.0526748,/home/sylva0/on_board/logs/images/0000000278.jpg,36.1773034,-78.0339261,16.443,-0.6712141036987305,9.023542404174805,-16.443710327148438,-0.008704711683094501,-0.13304367661476135,0.2636726498603821,1
