tree_id,score,px_xmin,px_ymin,px_xmax,px_ymax,crown_width_px,crown_height_px,crown_diameter_px,crown_width_m,crown_height_m,crown_diameter_m,geo_x,geo_y,mean_r,mean_g,mean_b,std_r,std_g,std_b,greenness_exg,vari,brightness,tile_idx,tile_origin_col,tile_origin_row
238,0.6236,2956.0,1495.0,2987.0,1523.0,31.0,28.0,29.5,1.661,1.5,1.581,638523.359965,3863632.003304,113.3,121.1,49.1,17.5,23.2,14.0,79.81,0.0419,94.5,1,1920,0
239,0.6233,3617.0,527.0,3647.0,556.0,30.0,29.0,29.5,1.608,1.554,1.581,638558.7564,3863683.848094,96.5,110.9,36.0,16.6,21.1,10.9,89.34,0.0842,81.1,1,1920,0
240,0.6229,3859.0,1733.0,3893.0,1766.0,34.0,33.0,33.5,1.822,1.768,1.795,638571.832449,3863619.115788,138.7,139.6,67.3,23.5,26.4,16.1,73.2,0.0043,115.2,1,1920,0
241,0.6221,3535.0,1143.0,3575.0,1179.0,40.0,36.0,38.0,2.144,1.929,2.036,638554.629942,3863650.651352,131.6,138.3,58.9,26.9,30.2,19.2,86.07,0.0316,109.6,1,1920,0
242,0.6219,2987.0,1113.0,3016.0,1143.0,29.0,30.0,29.5,1.554,1.608,1.581,638524.967676,3863652.419702,122.6,131.4,55.9,26.5,28.0,17.1,84.39,0.0446,103.3,1,1920,0
243,0.6194,2267.0,1730.0,2312.0,1773.0,45.0,43.0,44.0,2.411,2.304,2.358,638486.811337,3863619.008615,113.9,124.9,51.5,29.4,33.4,18.4,84.27,0.0584,96.8,1,1920,0
244,0.6188,3758.0,571.0,3786.0,599.0,28.0,28.0,28.0,1.5,1.5,1.5,638566.259051,3863681.517088,114.3,125.5,48.5,27.1,28.7,19.3,88.25,0.0585,96.1,1,1920,0
245,0.6176,2931.0,1633.0,2967.0,1667.0,36.0,34.0,35.0,1.929,1.822,1.876,638522.154182,3863624.447629,121.1,125.3,61.9,24.3,25.9,19.0,67.65,0.0227,102.8,1,1920,0
246,0.6173,3824.0,938.0,3846.0,959.0,22.0,21.0,21.5,1.179,1.125,1.152,638569.635244,3863662.038451,142.4,153.9,63.6,27.8,31.2,13.8,101.68,0.0491,120.0,1,1920,0
247,0.615,3333.0,853.0,3366.0,884.0,33.0,31.0,32.0,1.768,1.661,1.715,638543.617122,3863666.325358,111.5,120.0,43.6,20.6,24.2,16.0,84.97,0.0454,91.7,1,1920,0
